POD	eigenval	sigma	acc_eigenval	part_E	acc_part_E
1	4.415975e+06	2.101422e+03	4.416e+06	9.874e-01	0.987397
2	4.660206e+04	2.158751e+02	4.463e+06	1.042e-02	0.997817
3	8.354617e+03	9.140359e+01	4.471e+06	1.868e-03	0.999685
4	1.266848e+03	3.559281e+01	4.472e+06	2.833e-04	0.999968
5	1.325343e+02	1.151235e+01	4.472e+06	2.963e-05	0.999998
6	8.498630e+00	2.915241e+00	4.472e+06	1.900e-06	1.000000
7	3.672846e-01	6.060401e-01	4.472e+06	8.212e-08	1.000000
8	6.118449e-02	2.473550e-01	4.472e+06	1.368e-08	1.000000
9	2.998461e-03	5.475820e-02	4.472e+06	6.704e-10	1.000000
10	5.520507e-05	7.430011e-03	4.472e+06	1.234e-11	1.000000
11	1.163683e-06	1.078741e-03	4.472e+06	2.602e-13	1.000000
12	2.922871e-08	1.709641e-04	4.472e+06	6.535e-15	1.000000
13	6.824435e-10	2.612362e-05	4.472e+06	1.526e-16	1.000000
14	1.705825e-10	1.306072e-05	4.472e+06	3.814e-17	1.000000
15	1.649174e-10	1.289667e-05	4.472e+06	3.687e-17	1.000000
16	1.649174e-10	1.289667e-05	4.472e+06	3.687e-17	1.000000
17	1.616090e-10	1.271255e-05	4.472e+06	3.614e-17	1.000000
18	1.498802e-10	1.224256e-05	4.472e+06	3.351e-17	1.000000
19	1.495043e-10	1.224517e-05	4.472e+06	3.343e-17	1.000000
20	1.495043e-10	1.224517e-05	4.472e+06	3.343e-17	1.000000
21	1.368508e-10	1.169832e-05	4.472e+06	3.060e-17	1.000000
22	1.203161e-10	1.096887e-05	4.472e+06	2.690e-17	1.000000
23	1.173441e-10	1.089205e-05	4.472e+06	2.624e-17	1.000000
24	1.173441e-10	1.089205e-05	4.472e+06	2.624e-17	1.000000
25	1.165803e-10	1.079723e-05	4.472e+06	2.607e-17	1.000000
26	1.061765e-10	1.030420e-05	4.472e+06	2.374e-17	1.000000
27	1.042478e-10	1.021018e-05	4.472e+06	2.331e-17	1.000000
28	9.735427e-11	9.866827e-06	4.472e+06	2.177e-17	1.000000
29	9.453094e-11	9.722702e-06	4.472e+06	2.114e-17	1.000000
30	9.226075e-11	9.605246e-06	4.472e+06	2.063e-17	1.000000
31	7.717971e-11	8.785198e-06	4.472e+06	1.726e-17	1.000000
32	7.515552e-11	8.674711e-06	4.472e+06	1.680e-17	1.000000
33	7.515552e-11	8.674711e-06	4.472e+06	1.680e-17	1.000000
34	7.379793e-11	8.590572e-06	4.472e+06	1.650e-17	1.000000
35	6.837729e-11	8.269056e-06	4.472e+06	1.529e-17	1.000000
36	6.167712e-11	7.853478e-06	4.472e+06	1.379e-17	1.000000
37	5.623641e-11	7.499633e-06	4.472e+06	1.257e-17	1.000000
