POD	eigenval	sigma	acc_eigenval	part_E	acc_part_E
1	2.034348e+05	4.510375e+02	2.034e+05	9.096e-01	0.909562
2	1.954733e+04	1.398117e+02	2.230e+05	8.740e-02	0.996958
3	6.376754e+02	2.525223e+01	2.236e+05	2.851e-03	0.999809
4	3.270508e+01	5.718835e+00	2.237e+05	1.462e-04	0.999956
5	6.797316e+00	2.607166e+00	2.237e+05	3.039e-05	0.999986
6	1.830541e+00	1.352975e+00	2.237e+05	8.184e-06	0.999994
7	5.858559e-01	7.654123e-01	2.237e+05	2.619e-06	0.999997
8	3.994977e-01	6.320583e-01	2.237e+05	1.786e-06	0.999999
9	1.877579e-01	4.333104e-01	2.237e+05	8.395e-07	0.999999
10	7.282176e-02	2.698551e-01	2.237e+05	3.256e-07	1.000000
11	2.830284e-02	1.682345e-01	2.237e+05	1.265e-07	1.000000
12	1.676378e-02	1.294750e-01	2.237e+05	7.495e-08	1.000000
13	6.912080e-03	8.313892e-02	2.237e+05	3.090e-08	1.000000
14	4.043298e-03	6.358694e-02	2.237e+05	1.808e-08	1.000000
15	2.206010e-03	4.696818e-02	2.237e+05	9.863e-09	1.000000
16	1.309698e-03	3.618974e-02	2.237e+05	5.856e-09	1.000000
17	9.802288e-04	3.130861e-02	2.237e+05	4.383e-09	1.000000
18	6.710442e-04	2.590452e-02	2.237e+05	3.000e-09	1.000000
19	4.692987e-04	2.166330e-02	2.237e+05	2.098e-09	1.000000
20	3.438965e-04	1.854445e-02	2.237e+05	1.538e-09	1.000000
21	2.725986e-04	1.651056e-02	2.237e+05	1.219e-09	1.000000
22	2.661109e-04	1.631291e-02	2.237e+05	1.190e-09	1.000000
23	2.403947e-04	1.550467e-02	2.237e+05	1.075e-09	1.000000
24	2.230555e-04	1.493504e-02	2.237e+05	9.973e-10	1.000000
25	2.071051e-04	1.439115e-02	2.237e+05	9.260e-10	1.000000
26	1.991756e-04	1.411296e-02	2.237e+05	8.905e-10	1.000000
27	1.747666e-04	1.321993e-02	2.237e+05	7.814e-10	1.000000
28	1.550676e-04	1.245261e-02	2.237e+05	6.933e-10	1.000000
29	1.393585e-04	1.180502e-02	2.237e+05	6.231e-10	1.000000
30	1.186734e-04	1.089373e-02	2.237e+05	5.306e-10	1.000000
31	9.152587e-05	9.566915e-03	2.237e+05	4.092e-10	1.000000
32	8.694397e-05	9.324375e-03	2.237e+05	3.887e-10	1.000000
33	7.659254e-05	8.751717e-03	2.237e+05	3.424e-10	1.000000
34	6.570746e-05	8.106014e-03	2.237e+05	2.938e-10	1.000000
35	5.709106e-05	7.555863e-03	2.237e+05	2.553e-10	1.000000
36	5.252997e-05	7.247756e-03	2.237e+05	2.349e-10	1.000000
37	4.626390e-05	6.801757e-03	2.237e+05	2.068e-10	1.000000
38	4.184913e-05	6.469090e-03	2.237e+05	1.871e-10	1.000000
39	3.527455e-05	5.939238e-03	2.237e+05	1.577e-10	1.000000
40	3.234476e-05	5.687245e-03	2.237e+05	1.446e-10	1.000000
41	2.935935e-05	5.418427e-03	2.237e+05	1.313e-10	1.000000
42	2.431622e-05	4.931148e-03	2.237e+05	1.087e-10	1.000000
43	2.169604e-05	4.657901e-03	2.237e+05	9.700e-11	1.000000
44	2.013458e-05	4.487157e-03	2.237e+05	9.002e-11	1.000000
45	1.768640e-05	4.205520e-03	2.237e+05	7.908e-11	1.000000
46	1.652629e-05	4.065254e-03	2.237e+05	7.389e-11	1.000000
47	1.345085e-05	3.667540e-03	2.237e+05	6.014e-11	1.000000
48	1.291322e-05	3.593497e-03	2.237e+05	5.774e-11	1.000000
49	1.245943e-05	3.529792e-03	2.237e+05	5.571e-11	1.000000
50	1.207406e-05	3.474775e-03	2.237e+05	5.398e-11	1.000000
51	9.967424e-06	3.157123e-03	2.237e+05	4.456e-11	1.000000
52	9.518682e-06	3.085236e-03	2.237e+05	4.256e-11	1.000000
53	8.370870e-06	2.893246e-03	2.237e+05	3.743e-11	1.000000
54	7.227798e-06	2.688456e-03	2.237e+05	3.232e-11	1.000000
55	6.505105e-06	2.550511e-03	2.237e+05	2.908e-11	1.000000
56	6.406394e-06	2.531085e-03	2.237e+05	2.864e-11	1.000000
57	5.729979e-06	2.393738e-03	2.237e+05	2.562e-11	1.000000
