POD	eigenval	sigma	acc_eigenval	part_E	acc_part_E
1	6.113914e+05	7.819152e+02	6.114e+05	9.105e-01	0.910450
2	5.904739e+04	2.429967e+02	6.704e+05	8.793e-02	0.998380
3	9.678599e+02	3.111045e+01	6.714e+05	1.441e-03	0.999822
4	9.700216e+01	9.848967e+00	6.715e+05	1.445e-04	0.999966
5	1.732449e+01	4.162270e+00	6.715e+05	2.580e-05	0.999992
6	3.288587e+00	1.813446e+00	6.715e+05	4.897e-06	0.999997
7	1.012937e+00	1.006448e+00	6.715e+05	1.508e-06	0.999998
8	6.423734e-01	8.014820e-01	6.715e+05	9.566e-07	0.999999
9	3.080974e-01	5.550652e-01	6.715e+05	4.588e-07	1.000000
10	1.216072e-01	3.487223e-01	6.715e+05	1.811e-07	1.000000
11	4.530238e-02	2.128436e-01	6.715e+05	6.746e-08	1.000000
12	2.603313e-02	1.613479e-01	6.715e+05	3.877e-08	1.000000
13	1.187154e-02	1.089566e-01	6.715e+05	1.768e-08	1.000000
14	6.649076e-03	8.154187e-02	6.715e+05	9.901e-09	1.000000
15	3.847599e-03	6.202902e-02	6.715e+05	5.730e-09	1.000000
16	2.225474e-03	4.717493e-02	6.715e+05	3.314e-09	1.000000
17	1.550152e-03	3.937197e-02	6.715e+05	2.308e-09	1.000000
18	1.063125e-03	3.260560e-02	6.715e+05	1.583e-09	1.000000
19	7.109591e-04	2.666382e-02	6.715e+05	1.059e-09	1.000000
20	6.779742e-04	2.603794e-02	6.715e+05	1.010e-09	1.000000
21	5.730945e-04	2.393939e-02	6.715e+05	8.534e-10	1.000000
22	5.613486e-04	2.369280e-02	6.715e+05	8.359e-10	1.000000
23	4.400702e-04	2.097785e-02	6.715e+05	6.553e-10	1.000000
24	4.124216e-04	2.030816e-02	6.715e+05	6.142e-10	1.000000
25	3.864068e-04	1.965723e-02	6.715e+05	5.754e-10	1.000000
26	3.388182e-04	1.840702e-02	6.715e+05	5.045e-10	1.000000
27	3.129047e-04	1.768911e-02	6.715e+05	4.660e-10	1.000000
28	3.023138e-04	1.738717e-02	6.715e+05	4.502e-10	1.000000
29	2.828452e-04	1.681800e-02	6.715e+05	4.212e-10	1.000000
30	2.588623e-04	1.608920e-02	6.715e+05	3.855e-10	1.000000
31	2.059619e-04	1.435137e-02	6.715e+05	3.067e-10	1.000000
32	1.844306e-04	1.358052e-02	6.715e+05	2.746e-10	1.000000
33	1.715014e-04	1.309585e-02	6.715e+05	2.554e-10	1.000000
34	1.496436e-04	1.223289e-02	6.715e+05	2.228e-10	1.000000
35	1.469004e-04	1.212025e-02	6.715e+05	2.188e-10	1.000000
36	1.184770e-04	1.088471e-02	6.715e+05	1.764e-10	1.000000
37	9.485439e-05	9.739322e-03	6.715e+05	1.413e-10	1.000000
38	7.668200e-05	8.756826e-03	6.715e+05	1.142e-10	1.000000
39	7.553070e-05	8.690840e-03	6.715e+05	1.125e-10	1.000000
40	6.739479e-05	8.209433e-03	6.715e+05	1.004e-10	1.000000
41	6.489315e-05	8.055628e-03	6.715e+05	9.664e-11	1.000000
42	6.036059e-05	7.769208e-03	6.715e+05	8.989e-11	1.000000
43	5.146546e-05	7.173943e-03	6.715e+05	7.664e-11	1.000000
44	4.818038e-05	6.941209e-03	6.715e+05	7.175e-11	1.000000
45	4.484208e-05	6.696423e-03	6.715e+05	6.678e-11	1.000000
46	3.810413e-05	6.172854e-03	6.715e+05	5.674e-11	1.000000
47	3.540512e-05	5.950220e-03	6.715e+05	5.272e-11	1.000000
48	3.355430e-05	5.792607e-03	6.715e+05	4.997e-11	1.000000
49	3.041186e-05	5.514695e-03	6.715e+05	4.529e-11	1.000000
50	2.688142e-05	5.184729e-03	6.715e+05	4.003e-11	1.000000
51	2.548485e-05	5.048252e-03	6.715e+05	3.795e-11	1.000000
52	2.277787e-05	4.772617e-03	6.715e+05	3.392e-11	1.000000
53	2.035146e-05	4.511259e-03	6.715e+05	3.031e-11	1.000000
54	1.767342e-05	4.203977e-03	6.715e+05	2.632e-11	1.000000
55	1.654341e-05	4.067359e-03	6.715e+05	2.464e-11	1.000000
56	1.464642e-05	3.827064e-03	6.715e+05	2.181e-11	1.000000
57	1.337465e-05	3.657136e-03	6.715e+05	1.992e-11	1.000000
58	1.215135e-05	3.485879e-03	6.715e+05	1.810e-11	1.000000
59	1.087018e-05	3.296996e-03	6.715e+05	1.619e-11	1.000000
60	9.944658e-06	3.153515e-03	6.715e+05	1.481e-11	1.000000
61	9.187200e-06	3.031039e-03	6.715e+05	1.368e-11	1.000000
62	8.584299e-06	2.929897e-03	6.715e+05	1.278e-11	1.000000
63	7.968071e-06	2.822777e-03	6.715e+05	1.187e-11	1.000000
64	7.349188e-06	2.710939e-03	6.715e+05	1.094e-11	1.000000
65	6.984793e-06	2.642876e-03	6.715e+05	1.040e-11	1.000000
66	6.285309e-06	2.507052e-03	6.715e+05	9.360e-12	1.000000
67	6.062209e-06	2.462155e-03	6.715e+05	9.028e-12	1.000000
68	5.559106e-06	2.357776e-03	6.715e+05	8.278e-12	1.000000
69	4.342706e-06	2.083916e-03	6.715e+05	6.467e-12	1.000000
70	5.519943e-12	2.349456e-06	6.715e+05	8.220e-18	1.000000
71	5.466497e-12	2.338057e-06	6.715e+05	8.140e-18	1.000000
72	5.466497e-12	2.338057e-06	6.715e+05	8.140e-18	1.000000
73	5.443459e-12	2.333319e-06	6.715e+05	8.106e-18	1.000000
74	5.443459e-12	2.333319e-06	6.715e+05	8.106e-18	1.000000
75	5.426804e-12	2.329550e-06	6.715e+05	8.081e-18	1.000000
76	5.422981e-12	2.328835e-06	6.715e+05	8.076e-18	1.000000
77	5.422981e-12	2.328835e-06	6.715e+05	8.076e-18	1.000000
78	5.406369e-12	2.325160e-06	6.715e+05	8.051e-18	1.000000
79	5.387571e-12	2.321157e-06	6.715e+05	8.023e-18	1.000000
80	5.387571e-12	2.321157e-06	6.715e+05	8.023e-18	1.000000
81	5.386044e-12	2.321541e-06	6.715e+05	8.021e-18	1.000000
82	5.386044e-12	2.321541e-06	6.715e+05	8.021e-18	1.000000
83	5.366592e-12	2.316605e-06	6.715e+05	7.992e-18	1.000000
84	5.366592e-12	2.316605e-06	6.715e+05	7.992e-18	1.000000
85	5.365914e-12	2.316700e-06	6.715e+05	7.991e-18	1.000000
86	5.365914e-12	2.316700e-06	6.715e+05	7.991e-18	1.000000
87	5.363087e-12	2.315889e-06	6.715e+05	7.986e-18	1.000000
88	5.363087e-12	2.315889e-06	6.715e+05	7.986e-18	1.000000
89	5.360852e-12	2.315351e-06	6.715e+05	7.983e-18	1.000000
90	5.358755e-12	2.315358e-06	6.715e+05	7.980e-18	1.000000
91	5.358755e-12	2.315358e-06	6.715e+05	7.980e-18	1.000000
92	5.350642e-12	2.313322e-06	6.715e+05	7.968e-18	1.000000
93	5.350642e-12	2.313322e-06	6.715e+05	7.968e-18	1.000000
94	5.340783e-12	2.311013e-06	6.715e+05	7.953e-18	1.000000
95	5.326903e-12	2.308321e-06	6.715e+05	7.933e-18	1.000000
96	5.326903e-12	2.308321e-06	6.715e+05	7.933e-18	1.000000
97	5.309632e-12	2.304806e-06	6.715e+05	7.907e-18	1.000000
98	5.309632e-12	2.304806e-06	6.715e+05	7.907e-18	1.000000
99	5.305567e-12	2.303467e-06	6.715e+05	7.901e-18	1.000000
100	5.305567e-12	2.303467e-06	6.715e+05	7.901e-18	1.000000
101	5.294767e-12	2.301372e-06	6.715e+05	7.885e-18	1.000000
102	5.294767e-12	2.301372e-06	6.715e+05	7.885e-18	1.000000
103	5.288746e-12	2.299727e-06	6.715e+05	7.876e-18	1.000000
104	5.273305e-12	2.296570e-06	6.715e+05	7.853e-18	1.000000
105	5.273305e-12	2.296570e-06	6.715e+05	7.853e-18	1.000000
106	5.268294e-12	2.295348e-06	6.715e+05	7.845e-18	1.000000
107	5.268294e-12	2.295348e-06	6.715e+05	7.845e-18	1.000000
108	5.266868e-12	2.294978e-06	6.715e+05	7.843e-18	1.000000
109	5.266868e-12	2.294978e-06	6.715e+05	7.843e-18	1.000000
110	5.250501e-12	2.291785e-06	6.715e+05	7.819e-18	1.000000
111	5.250501e-12	2.291785e-06	6.715e+05	7.819e-18	1.000000
112	5.248608e-12	2.291682e-06	6.715e+05	7.816e-18	1.000000
113	5.248608e-12	2.291682e-06	6.715e+05	7.816e-18	1.000000
114	5.247435e-12	2.290931e-06	6.715e+05	7.814e-18	1.000000
115	5.247435e-12	2.290931e-06	6.715e+05	7.814e-18	1.000000
116	5.234159e-12	2.287828e-06	6.715e+05	7.794e-18	1.000000
117	5.220240e-12	2.285753e-06	6.715e+05	7.774e-18	1.000000
118	5.220240e-12	2.285753e-06	6.715e+05	7.774e-18	1.000000
119	5.216215e-12	2.285629e-06	6.715e+05	7.768e-18	1.000000
120	5.216215e-12	2.285629e-06	6.715e+05	7.768e-18	1.000000
121	5.214207e-12	2.283480e-06	6.715e+05	7.765e-18	1.000000
122	5.214207e-12	2.283480e-06	6.715e+05	7.765e-18	1.000000
123	5.206382e-12	2.281945e-06	6.715e+05	7.753e-18	1.000000
124	5.206382e-12	2.281945e-06	6.715e+05	7.753e-18	1.000000
125	5.205753e-12	2.281654e-06	6.715e+05	7.752e-18	1.000000
126	5.205753e-12	2.281654e-06	6.715e+05	7.752e-18	1.000000
127	5.202820e-12	2.281320e-06	6.715e+05	7.748e-18	1.000000
128	5.202820e-12	2.281320e-06	6.715e+05	7.748e-18	1.000000
129	5.198982e-12	2.280872e-06	6.715e+05	7.742e-18	1.000000
130	5.198982e-12	2.280872e-06	6.715e+05	7.742e-18	1.000000
131	5.187868e-12	2.278259e-06	6.715e+05	7.725e-18	1.000000
132	5.187868e-12	2.278259e-06	6.715e+05	7.725e-18	1.000000
133	5.187283e-12	2.277565e-06	6.715e+05	7.725e-18	1.000000
134	5.187283e-12	2.277565e-06	6.715e+05	7.725e-18	1.000000
135	5.155979e-12	2.270837e-06	6.715e+05	7.678e-18	1.000000
136	5.155979e-12	2.270837e-06	6.715e+05	7.678e-18	1.000000
137	5.153275e-12	2.271008e-06	6.715e+05	7.674e-18	1.000000
138	5.153275e-12	2.271008e-06	6.715e+05	7.674e-18	1.000000
139	5.146109e-12	2.268504e-06	6.715e+05	7.663e-18	1.000000
140	5.145623e-12	2.268562e-06	6.715e+05	7.663e-18	1.000000
141	5.145623e-12	2.268562e-06	6.715e+05	7.663e-18	1.000000
142	5.135766e-12	2.266749e-06	6.715e+05	7.648e-18	1.000000
143	5.135766e-12	2.266749e-06	6.715e+05	7.648e-18	1.000000
144	5.130901e-12	2.265437e-06	6.715e+05	7.641e-18	1.000000
145	5.130901e-12	2.265437e-06	6.715e+05	7.641e-18	1.000000
146	5.127056e-12	2.264346e-06	6.715e+05	7.635e-18	1.000000
147	5.127056e-12	2.264346e-06	6.715e+05	7.635e-18	1.000000
148	5.124246e-12	2.264846e-06	6.715e+05	7.631e-18	1.000000
149	5.124246e-12	2.264846e-06	6.715e+05	7.631e-18	1.000000
150	5.119598e-12	2.262653e-06	6.715e+05	7.624e-18	1.000000
151	5.119598e-12	2.262653e-06	6.715e+05	7.624e-18	1.000000
152	5.109872e-12	2.262345e-06	6.715e+05	7.609e-18	1.000000
153	5.109872e-12	2.262345e-06	6.715e+05	7.609e-18	1.000000
154	5.107563e-12	2.260664e-06	6.715e+05	7.606e-18	1.000000
155	5.107563e-12	2.260664e-06	6.715e+05	7.606e-18	1.000000
